#NAME(1),a(au),Period(day),Excentricity(1),Mass(Mjup),Mstar(Msun),Rstar(Rsun),Teff(K),Rplanet(Rjup)
KOI_2084.01,0.051,4.195803,0,0.0391524451175911,0.99,1.12,5029,0.3122496223364437
KOI_2087.01,0.165,23.1276,0,0.012140985226052094,1.115,1.28,6223,0.14274268449666
KOI_2090.01,0.045,5.132541,0,0.011493518353196576,0.46,0.5,3834,0.13382126671561873
KOI_2091.01,0.077,8.77988,0,0.02095299423911337,0.798,0.72,5159,0.22749615341655183
KOI_2389.01,0.164,22.92272,0,0.01182725005742083,1.12,1.22,6282,0.13114484138130636
KOI_2390.01,0.126,16.10519,0,0.01254424386703551,1.04,1.21,6052,0.14809553516528473
KOI_2392.01,0.073,7.42716,0,0.009594493778887308,0.942,0.99,5811,0.12311556537836923
KOI_2393.01,0.048,4.603098,0,0.010799121778904323,0.714,0.691,4899,0.12757627426888987
KOI_2397.01,0.096,12.00095,0,0.012681492758190931,0.825,0.76,5275,0.14987981872149297
KOI_2398.01,0.023,1.168993,0,0.013538959863280521,1.26,1.51,6534,0.1605855200587425
KOI_2399.01,0.028,1.916992,0,0.0021602820291566375,0.824,0.723,5220,0.08029276002937125
KOI_2400.01,0.101,11.61924,0,0.020312190424289847,1.003,0.9,5899,0.22303544452603125
KOI_2401.01,0.193,38.23021,0,0.008914058575312862,0.654,0.628,4625,0.12043914004405687
KOI_2402.01,0.111,16.30177,0,0.004699563696015829,0.682,0.66,4761,0.099919879147662
KOI_2403.01,0.114,13.323565,0,0.004999082786450556,1.13,1.08,6292,0.10170416270387023
KOI_2404.01,0.032,2.100767,0,0.011620833825601714,0.96,0.9,5788,0.135605550271827
KOI_2406.01,0.075,7.010723,0,0.013688101523974858,1.16,1.09,6369,0.16236980361495074
KOI_2407.01,0.135,17.29184,0,0.011620833825601714,1.1,1.01,6197,0.135605550271827
KOI_2408.01,0.4,94.2899,0,0.016285734078303266,0.957,0.97,5840,0.1900261987361786
KOI_2409.01,0.013,0.5773752,0,0.012341080220345241,0.839,0.74,5285,0.14541910983097237
KOI_2410.01,0.649,186.654,0,0.02203274691436883,1.048,0.95,6034,0.23463328764138486
KOI_2682.01,0.082,8.531613,0,1,1,1,5780,3.5685671124165
KOI_2683.01,0.482,126.44616,0,0.07296712593626367,0.934,0.83,5639,0.41038521792789745
KOI_2686.01,0.608,211.03814,0,0.041880897203973984,0.674,0.65,4722,0.321171040117485
KOI_2687.01,0.029,1.7168333,0,0.014304699747848941,1.122,1.94,5803,0.16950693783978374
KOI_2687.02,0.082,8.167335,0,0.02217258907845145,1.122,1.94,5803,0.23552542941948898
KOI_2688.01,0.036,5.4247468,0,0.054712894274439684,0.21,0.27,3240,0.35685671124164997
KOI_2689.01,0.597,165.34458,0,1,1.04,1,6057,3.8362096458477373
KOI_2690.01,0.044,3.6069424,0,0.024565958336960184,0.865,1.06,5601,0.24979969786915496
KOI_197.01,0.118,17.2762904,0,0.16936376670431344,0.74,0.74,5036,0.6512634980160111
KOI_1808.01,0.406,89.19284,0,0.054712894274439684,1.12,1.17,6278,0.35685671124164997
KOI_1812.01,0.018,0.80526304,0,0.07965316849429974,1.12,1.09,6285,0.42822805348997994
KOI_1813.01,0.084,9.767805,0,0.02800412939982539,0.84,0.98,5506,0.26764253343123745
KOI_1814.01,0.132,14.80012,0,0.0665822735485092,1.39,1.37,7063,0.392542382365815
KOI_1815.01,0.037,3.1268651,0,0.013538959863280521,0.68,0.7,4735,0.1605855200587425
KOI_198.01,0.393,87.241243,0,1,1.063,1.004,5682,4.193066357089387
KOI_1816.01,0.086,10.240605,0,0.11348757335301947,0.82,0.83,5362,0.5085208135193512
KOI_1818.01,0.125,16.877342,0,0.0391524451175911,0.908,1.09,5723,0.3122496223364437
KOI_1819.01,0.099,12.057086,0,0.01495626566117161,0.894,0.79,5486,0.17664407206461674
KOI_1822.01,0.58,150.8811,0,0.0391524451175911,1.14,1.39,6222,0.3122496223364437
KOI_1825.01,0.108,13.522604,0,0.06049780884697308,0.93,1.49,5545,0.37469954680373246
KOI_2093.01,0.073,6.78354,0,0.016192339464120374,1.11,0.98,6287,0.1891340569580745
KOI_2094.01,0.222,42.42548,0,0.024565958336960184,0.811,0.9,5379,0.24979969786915496
KOI_2095.01,0.025,1.434779,0,0.0045543089489026335,0.959,0.85,5734,0.09902773736955787
KOI_2096.01,0.081,9.76283,0,0.012820257934779422,0.73,0.73,4999,0.15166410227770125
KOI_2097.01,0.306,58.6003,0,0.017989941138038083,1.12,1.05,6248,0.20519260896394872
KOI_2098.01,0.178,25.08272,0,0.016007682752572028,1.203,1.39,6456,0.18734977340186623
KOI_2099.01,0.368,78.0971,0,0.024565958336960184,1.09,0.99,6158,0.24979969786915496
KOI_2100.01,0.052,4.271024,0,0.007646557956011895,1.03,0.93,5983,0.11508628937543212
KOI_2101.01,0.033,2.892219,0,0.0054712583658563475,0.589,0.56,4286,0.1043805880381826
KOI_2102.01,0.597,187.7465,0,0.041880897203973984,0.81,0.83,5323,0.321171040117485
KOI_2103.01,0.036,2.543066,0,0.006683170224232892,0.947,0.92,5782,0.11062558048491149
KOI_2104.01,0.033,2.168446,0,0.02800412939982539,1.05,1.09,6102,0.26764253343123745
KOI_2105.01,0.07,6.421928,0,0.009137374910657577,1.1,1.02,6202,0.121331281822161
KOI_2106.01,0.088,9.7538,0,0.01696010811674252,0.969,0.86,5770,0.1962711911829075
KOI_2107.01,0.357,81.317,0,0.01696010811674252,0.918,0.81,5582,0.1962711911829075
KOI_2108.01,0.274,51.3292,0,0.03660046286224619,1.04,1.13,6098,0.3033282045554025
KOI_2109.01,0.149,19.79243,0,0.015296376462899665,1.13,1.06,6286,0.18021263917703323
KOI_2410.02,0.389,86.5932,0,0.022743116290617295,1.048,0.95,6034,0.2390939965319055
KOI_2411.01,0.102,11.96712,0,0.02303518150964036,0.979,1,5913,0.24087828008811374
KOI_2415.01,0.06,5.25408,0,0.013688101523974858,1.06,0.89,5874,0.16236980361495074
KOI_2416.01,0.064,5.90577,0,0.01181375325229529,1.02,0.92,5938,0.13828197560613936
KOI_2417.01,0.224,47.7087,0,0.027274209890220346,0.654,0.708,4300,0.26407396631882096
KOI_2418.01,0.313,86.8299,0,0.01254424386703551,0.543,0.52,4013,0.14809553516528473
KOI_2419.01,0.093,9.95699,0,0.03421728956301689,1.06,1.1,6144,0.2944067867743612
KOI_2420.01,0.093,10.41729,0,0.007251222153933125,0.98,0.88,5817,0.11330200581922387
KOI_2421.01,0.03,2.270395,0,0.000982926194909591,0.728,0.654,4848,0.064234208023497
KOI_2422.01,0.164,26.78372,0,0.012820257934779422,0.816,0.91,5413,0.15166410227770125
KOI_2423.01,0.264,45.1257,0,0.01591640547827648,1.21,1.15,6495,0.1864576316237621
KOI_2424.01,0.093,11.93999,0,0.021619793887072344,0.763,0.69,5010,0.2319568623070725
KOI_2426.01,0.049,4.160693,0,0.0013616446596445928,0.885,0.78,5461,0.07047920047022588
KOI_2691.01,0.363,97.4553,0,0.029335004891539805,0.67,0.646,4703,0.27388752587796633
KOI_2693.03,0.061,6.834378,0,0.0010819872266159744,0.649,0.575,4476,0.06601849157970524
KOI_2694.01,0.015,0.8433802,0,0.007849274103709034,0.67,0.65,4703,0.11597843115353625
KOI_2694.02,0.06,6.566075,0,0.010065691368859842,0.67,0.65,4703,0.12489984893457748
KOI_2696.01,0.465,96.45752,0,0.10543705026621135,1.44,1.67,7036,0.4906779779572687
KOI_2696.02,0.278,44.56445,0,0.041880897203973984,1.44,1.67,7036,0.321171040117485
KOI_2698.01,0.385,87.97294,0,0.026219735239476377,0.983,0.88,5823,0.25872111565019623
KOI_1826.01,0.52,134.2519,0,0.02148430868941088,1.04,0.94,6010,0.23106472052896834
KOI_199.01,0.045,3.26869482,0,1,1.16,1.09,6409,0.9813559559145374
KOI_1828.01,0.404,99.7469,0,0.07627244957686909,0.885,1.18,5638,0.4193066357089387
KOI_1829.01,0.148,22.84145,0,1,0.824,0.81,5350,2.5872111565019624
KOI_1830.01,0.1,13.227123,0,0.019338605009026066,0.772,0.8,5203,0.21589831030119822
KOI_1831.03,0.196,34.2069,0,0.007849274103709034,0.85,0.75,5319,0.11597843115353625
KOI_1831.04,0.108,13.97925,0,0.013538959863280521,0.85,0.75,5319,0.1605855200587425
KOI_1833.01,0.04,3.692988,0,0.012274051096458335,0.629,0.599,4495,0.14452696805286824
KOI_1837.01,0.191,34.17325,0,0.017989941138038083,0.79,0.84,5284,0.20519260896394872
KOI_1838.01,0.111,16.736955,0,0.01910477129521287,0.642,0.614,4562,0.21411402674498997
KOI_1839.01,0.089,9.590633,0,0.07863103060785323,1.008,1.76,5541,0.42555162815566755
KOI_1840.01,0.073,7.039324,0,0.05756796159953969,1.05,1.11,6103,0.3657781290226912
KOI_2110.01,0.061,5.037282,0,0.004999082786450556,1.18,1.27,6470,0.10170416270387023
KOI_2113.01,0.122,15.94274,0,0.024565958336960184,0.95,0.83,5177,0.24979969786915496
KOI_2113.02,0.103,12.33108,0,0.018874641128897016,0.95,0.83,5177,0.21232974318878173
KOI_2114.01,0.044,4.421539,0,0.008477834754398823,0.579,0.55,4230,0.11865485648784863
KOI_2115.01,0.122,15.72584,0,0.047897893277621735,0.98,0.98,5184,0.3390138756795675
KOI_2116.01,0.024,1.2527398,0,0.012093320795718886,1.11,1.03,6242,0.13203698315941048
KOI_2117.01,0.094,13.36011,0,0.013318756268476914,0.628,0.573,4421,0.15790909472443013
KOI_2119.01,0.012,0.5710391,0,0.008055380418801888,0.751,0.76,5099,0.11687057293164037
KOI_2120.01,0.081,8.77406,0,0.024565958336960184,0.92,1.88,5046,0.24979969786915496
KOI_2121.01,0.052,4.510142,0,0.009828325711068054,0.913,0.81,5554,0.12400770715647336
KOI_2122.01,0.217,37.64617,0,0.012612682585984877,0.962,0.88,5779,0.14898767694338885
KOI_2123.01,0.189,29.4556,0,0.017989941138038083,1.04,0.95,6034,0.20519260896394872
KOI_2124.01,0.199,42.33711,0,0.003744218221213967,0.583,0.553,4250,0.09367488670093312
KOI_2125.01,0.166,23.35986,0,0.020312190424289847,1.12,1.04,6248,0.22303544452603125
KOI_2126.01,0.082,9.69323,0,0.01910477129521287,0.78,0.72,4660,0.21411402674498997
KOI_2128.01,0.161,24.25996,0,1,0.95,0.77,5283,1.78428355620825
KOI_2129.01,0.085,8.79631,0,0.013318756268476914,1.058,0.96,6071,0.15790909472443013
KOI_2430.01,0.092,10.21517,0,0.011493518353196576,1.01,1.04,5287,0.13382126671561873
KOI_2432.01,0.185,31.05745,0,0.016192339464120374,0.882,0.78,5442,0.1891340569580745
KOI_2436.01,0.352,84.5731,0,0.017989941138038083,0.814,0.77,5271,0.20519260896394872
KOI_2437.01,0.052,4.147653,0,0.008477834754398823,1.1,1.06,6225,0.11865485648784863
KOI_2439.01,0.06,5.19119,0,0.013465098415445489,1.09,0.95,6096,0.15969337828063837
KOI_2440.01,0.054,4.866591,0,0.007646557956011895,0.889,0.96,5656,0.11508628937543212
KOI_2444.01,0.132,18.55269,0,0.01910477129521287,0.894,0.82,5540,0.21411402674498997
KOI_2699.01,0.013,0.5688763,0,0.009594493778887308,0.81,0.71,5159,0.12311556537836923
KOI_2700.01,0.016,0.9100229,0,0.004699563696015829,0.632,0.574,4433,0.099919879147662
KOI_2703.01,0.599,213.2567,0,0.021619793887072344,0.63,0.601,4504,0.2319568623070725
KOI_2704.01,0.033,4.871229,0,0.026219735239476377,0.21,0.27,3240,0.25872111565019623
KOI_2704.02,0.024,2.984151,0,0.01478988332302201,0.21,0.27,3240,0.17485978850840847
KOI_2705.01,0.024,2.8867627,0,0.010306604131922276,0.21,0.27,3240,0.1257919907126816
KOI_2706.01,0.045,3.0975887,0,0.011305974731867624,1.27,1.56,6491,0.12936055782509812
KOI_1841.01,0.243,49.60805,0,0.01910477129521287,0.777,0.81,5226,0.21411402674498997
KOI_1842.01,0.122,16.841896,0,0.021619793887072344,0.847,0.95,5526,0.2319568623070725
KOI_1843.01,0.041,4.194525,0,0.0074472135885528135,0.509,0.494,3823,0.11419414759732799
KOI_1843.02,0.054,6.356006,0,0.001423394081734606,0.509,0.494,3823,0.07137134224833
KOI_1845.01,0.027,1.9703213,0,0.011493518353196576,0.68,0.7,4765,0.13382126671561873
KOI_1845.02,0.051,5.058228,0,1,0.68,0.7,4765,1.8734977340186623
KOI_1847.01,0.163,26.85336,0,0.021619793887072344,0.8,0.85,5311,0.2319568623070725
KOI_1848.01,0.275,49.62473,0,0.01910477129521287,1.12,1.06,6272,0.21411402674498997
KOI_1849.01,0.074,8.088034,0,0.01910477129521287,0.813,0.71,5171,0.21411402674498997
KOI_1850.01,0.101,11.551282,0,0.01647469376544035,1.015,0.91,5934,0.19181048229238684
KOI_1851.01,0.054,4.469763,0,0.017989941138038083,1.024,0.93,5966,0.20519260896394872
